Id,NA_Sales,Platform,Year_of_Release,Genre,Publisher,JP_Sales,Critic_Score,Critic_Count,User_Score,User_Count,Developer,Rating
49,0.02,PC,2008.0,Action,Warner Bros. Interactive Entertainment,0.0,80.0,15.0,7.8,61.0,Traveller's Tales,E10+
50,0.33,3DS,2012.0,Role-Playing,Nintendo,0.37,73.0,51.0,8.6,209.0,"Level 5, Brownie Brown",E10+
51,0.0,PS,1998.0,Fighting,SNK Playmore,0.04,,,,,,
52,0.0,SNES,1994.0,Role-Playing,Nintendo,0.81,,,,,,
53,0.0,PS2,2003.0,Role-Playing,Sega,0.24,,,,,,
54,0.0,PC,2015.0,Simulation,Unknown,0.0,,,4,8.0,Dovetail Games,E
55,0.01,PS,1997.0,Sports,Konami Digital Entertainment,0.0,,,,,,
56,0.0,PS3,2013.0,Action,Sony Computer Entertainment,0.0,50.0,16.0,5,14.0,Magenta Software,E10+
57,0.77,PS2,2001.0,Sports,Electronic Arts,0.0,90.0,18.0,8.7,24.0,EA Sports,E
58,0.14,DS,2004.0,Racing,Namco Bandai Games,0.0,63.0,35.0,6.7,7.0,Namco,E
59,0.3,DS,2008.0,Simulation,Nobilis,0.0,,,tbd,,Dancing Dots,E
60,0.0,PSV,2015.0,Action,Tecmo Koei,0.02,70.0,15.0,7.4,9.0,Omega Force,T
61,9.01,Wii,2009.0,Sports,Nintendo,2.53,80.0,33.0,7.4,52.0,Nintendo,E
62,0.0,DS,2007.0,Strategy,Banpresto,0.3,,,,,,
63,0.1,DS,2007.0,Misc,Gameloft,0.0,60.0,8.0,tbd,,Ubisoft,E10+
64,0.08,3DS,2016.0,Misc,Nintendo,0.08,68.0,37.0,6.8,16.0,"Nintendo, Nd Cube",E
65,0.08,PC,2010.0,Action,Electronic Arts,0.0,37.0,5.0,4.1,33.0,EA Bright Light,T
66,0.13,Wii,2011.0,Sports,Take-Two Interactive,0.0,,,tbd,,High Voltage Software,E
67,0.0,SAT,1994.0,Simulation,Electronic Arts,0.08,,,,,,
68,0.09,3DS,2015.0,Platform,Nintendo,0.06,,,,,,
69,0.0,PSP,2010.0,Adventure,Sony Computer Entertainment,0.07,,,,,,
70,0.0,PS2,2007.0,Action,Marvelous Interactive,0.02,,,,,,
71,0.38,X360,2012.0,Sports,Electronic Arts,0.0,82.0,65.0,6.4,186.0,EA Canada,E
72,0.0,PC,2010.0,Sports,Konami Digital Entertainment,0.0,79.0,9.0,,,Konami,
73,0.1,XB,2004.0,Sports,Sega,0.0,,,,,,
74,0.43,DS,2010.0,Racing,Sega,0.0,,,,,,
75,0.0,Wii,2013.0,Sports,Electronic Arts,0.0,,,4.3,19.0,EA Canada,E
76,0.36,X360,2012.0,Strategy,Take-Two Interactive,0.0,90.0,35.0,8.3,366.0,Firaxis Games,M
77,0.02,PS2,2009.0,Misc,Magix,0.0,,,,,,
78,0.15,PS,2000.0,Sports,Sony Computer Entertainment,0.0,71.0,10.0,tbd,,989 Sports,E
79,0.0,DS,2011.0,Action,Konami Digital Entertainment,0.24,,,,,,
80,0.0,PC,2008.0,Shooter,Atari,0.0,50.0,23.0,6.6,104.0,Spark Unlimited,M
81,0.13,Wii,2007.0,Misc,Xplosiv,0.0,,,tbd,,Jack of All Games,E
82,0.0,PS2,2004.0,Strategy,Namco Bandai Games,0.4,,,,,,
83,0.11,GBA,2005.0,Misc,,0.0,,,,,,
84,0.08,Wii,2009.0,Sports,Sega,0.0,45.0,10.0,tbd,,Tabot,E10+
85,0.43,PS3,2008.0,Action,Ubisoft,0.01,85.0,49.0,6.4,241.0,Ubisoft Montreal,M
86,2.45,PSP,2006.0,Platform,Sony Computer Entertainment,0.0,85.0,59.0,8.7,109.0,Ready at Dawn,E10+
87,0.02,DS,2008.0,Shooter,Lexicon Entertainment,0.0,64.0,6.0,tbd,,Mana Comp. Soft.,E10+
88,0.19,PS3,2008.0,Role-Playing,Atari,0.07,80.0,34.0,7.8,117.0,Tri-Crescendo,T
89,0.09,PS4,2015.0,Action,Nordic Games,0.0,,,,,,
90,0.35,PS,1999.0,Strategy,Electronic Arts,0.0,,,,,,
91,0.02,PS,1996.0,Shooter,Konami Digital Entertainment,0.0,,,,,,
92,0.88,PC,2010.0,Role-Playing,Square Enix,0.0,,,,,,
93,0.0,PS2,2003.0,Strategy,Banpresto,0.19,,,,,,
94,0.02,GBA,2006.0,Sports,Electronic Arts,0.0,68.0,4.0,9.3,4.0,Exient Entertainment,E
95,0.0,3DS,2016.0,Fighting,Namco Bandai Games,0.03,,,,,,
96,0.02,PS2,2006.0,Simulation,Kando Games,0.0,53.0,5.0,tbd,,Kando Games,E10+
97,0.51,X360,2014.0,Shooter,Electronic Arts,0.0,69.0,6.0,7.3,121.0,PopCap,E10+
98,0.14,PS,2000.0,Shooter,Sunsoft,0.0,,,,,,
99,0.5,PSP,2007.0,Shooter,Electronic Arts,0.02,69.0,20.0,7.3,30.0,EA LA,T
100,1.41,PS,1998.0,Sports,Midway Games,0.0,,,,,,
101,0.02,PC,2011.0,Role-Playing,Iceberg Interactive,0.0,56.0,12.0,5.7,269.0,"Reloaded Productions, Reloaded Games Inc.",M
102,0.03,PS4,2015.0,Role-Playing,Tecmo Koei,0.06,75.0,32.0,8.1,47.0,Gust,
103,0.14,PS2,2004.0,Action,Capcom,0.0,90.0,34.0,8.5,35.0,Clover Studio,T
104,0.04,GC,2002.0,Sports,Konami Digital Entertainment,0.0,62.0,6.0,tbd,,KCEO,E
105,0.11,X360,2006.0,Action,Tecmo Koei,0.0,61.0,40.0,8.2,19.0,Omega Force,T
106,0.02,DS,2008.0,Adventure,Aksys Games,0.0,47.0,12.0,tbd,,WorkJam,T
107,0.0,PS2,2006.0,Sports,Konami Digital Entertainment,0.35,,,,,,
108,0.09,PS,1998.0,Racing,Codemasters,0.12,,,,,,
109,0.18,DS,2008.0,Action,THQ,0.0,,,tbd,,Blitz Games,E
110,0.09,GBA,2004.0,Misc,Nintendo,0.0,,,,,,
111,0.16,GC,2005.0,Misc,THQ,0.0,,,tbd,,Blitz Games,E
112,0.3,SNES,1993.0,Strategy,Tecmo Koei,0.32,,,,,,
113,0.0,PS,1999.0,Strategy,Tecmo Koei,0.19,,,,,,
114,0.64,PC,2012.0,Shooter,Activision,0.0,74.0,11.0,4.2,1635.0,Treyarch,M
115,0.0,PS2,2000.0,Action,Namco Bandai Games,0.09,,,,,,
116,0.0,SAT,1998.0,Fighting,Capcom,0.03,,,,,,
117,0.0,NES,1986.0,Platform,Hudson Soft,1.05,,,,,,
118,0.08,X360,2008.0,Sports,Electronic Arts,0.0,,,,,,
119,0.8,Wii,2008.0,Sports,Electronic Arts,0.0,81.0,18.0,8.7,34.0,EA Tiburon,E
120,0.03,XB,2005.0,Misc,Crave Entertainment,0.0,60.0,6.0,2.7,13.0,Crave,E
121,0.28,PS3,2010.0,Sports,505 Games,0.0,,,3.8,4.0,"Pipeworks Software, Inc.",E
122,0.64,GBA,2004.0,Role-Playing,Nintendo,0.29,,,,,,
123,0.0,PS2,2004.0,Sports,Sega,0.36,,,,,,
124,0.23,PS,2000.0,Sports,Sony Computer Entertainment,0.0,56.0,10.0,tbd,,Idol Minds,E
125,0.05,PS2,2003.0,Racing,Electronic Arts,0.0,70.0,15.0,7.7,15.0,Electronic Arts,E
126,0.0,3DS,2011.0,Misc,DTP Entertainment,0.0,,,tbd,,Engine Software,E
127,0.11,XB,2005.0,Racing,Midway Games,0.0,59.0,36.0,3,4.0,Midway,T
128,0.05,GBA,2002.0,Action,Konami Digital Entertainment,0.0,55.0,9.0,tbd,,KCEA,E
129,0.37,DS,2008.0,Strategy,Ubisoft,0.0,,,7.2,9.0,Ubisoft Quebec,E
130,0.05,PS3,2011.0,Action,Funbox Media,0.0,,,,,,
131,0.0,SNES,1993.0,Shooter,Konami Digital Entertainment,0.09,,,,,,
132,1.07,PS3,2009.0,Fighting,THQ,0.01,84.0,58.0,8.1,47.0,THQ,T
133,0.09,PSP,2010.0,Action,Activision,0.0,,,tbd,,Now Production,E10+
134,0.02,GBA,2001.0,Racing,BAM! Entertainment,0.0,68.0,10.0,tbd,,Crawfish Interactive,E
135,0.12,PS3,2013.0,Action,Tecmo Koei,0.34,68.0,26.0,8.5,75.0,Omega Force,T
136,0.74,PS2,2005.0,Sports,Unknown,0.0,76.0,25.0,8,20.0,Midway,M
137,0.02,3DS,2011.0,Action,Konami Digital Entertainment,0.0,,,,,,
138,0.86,XOne,2015.0,Action,Warner Bros. Interactive Entertainment,0.01,74.0,26.0,7.8,387.0,Techland,M
139,0.25,PC,,Role-Playing,Unknown,0.0,77.0,41.0,6.8,742.0,Bluehole Studio,M
140,0.07,DS,2005.0,Misc,505 Games,0.0,67.0,8.0,tbd,,Sensory Sweep,E
141,0.04,PS3,2012.0,Fighting,Cloud Imperium Games Corporation,0.0,,,tbd,,"Pipeworks Software, Inc.",M
142,0.8,XOne,2014.0,Shooter,Ubisoft,0.01,82.0,15.0,7.5,383.0,Ubisoft Montreal,M
143,0.54,DS,2009.0,Adventure,Electronic Arts,0.0,60.0,5.0,tbd,,TOSE,E
144,0.1,X360,2006.0,Action,Eidos Interactive,0.01,73.0,57.0,7.2,52.0,Avalanche Studios,M
145,0.0,SAT,1996.0,Simulation,NEC Interchannel,0.06,,,,,,
146,0.56,PS,1998.0,Puzzle,Hasbro Interactive,0.0,,,,,,
147,0.02,PS3,2015.0,Adventure,Arc System Works,0.0,63.0,4.0,6.2,5.0,Arc System Works,M
148,0.25,DS,2009.0,Racing,Electronic Arts,0.0,67.0,11.0,7.3,4.0,EA Games,E
149,0.46,GC,2002.0,Shooter,Electronic Arts,0.0,80.0,16.0,7.9,16.0,Dreamworks Games,T
150,0.01,PSV,2015.0,Role-Playing,Idea Factory,0.01,,,,,,
151,0.05,XB,2002.0,Racing,Rage Software,0.0,,,,,,
152,0.88,3DS,2012.0,Action,Square Enix,0.34,75.0,54.0,8.2,267.0,Square Enix,E10+
153,0.65,XB,2003.0,Simulation,Microsoft Game Studios,0.0,88.0,49.0,8.8,45.0,FASA Studio,T
154,0.57,XB,2005.0,Sports,Electronic Arts,0.0,79.0,30.0,6.4,15.0,EA Canada,E
155,0.74,NES,1986.0,Action,Capcom,0.61,,,,,,
156,0.11,Wii,2008.0,Shooter,Ubisoft,0.0,45.0,13.0,6.6,17.0,Gearbox Software,M
157,0.08,PC,2004.0,Role-Playing,Activision,0.0,93.0,57.0,7.3,2182.0,Blizzard Entertainment,T
158,0.04,PS4,2016.0,Action,Tecmo Koei,0.11,,,,,,
159,0.02,DS,2010.0,Racing,Ubisoft,0.0,,,,,,
160,0.02,XB,2006.0,Sports,Mad Catz,0.0,74.0,12.0,tbd,,"Aqua Pacific, In2Games",E
161,0.13,PS2,2004.0,Racing,Take-Two Interactive,0.0,50.0,7.0,6.6,8.0,Razorworks Studios,E
162,0.01,X360,2014.0,Adventure,Little Orbit,0.0,,,,,,
163,0.0,PS3,2013.0,Action,Namco Bandai Games,0.19,,,,,,
164,0.83,XOne,2013.0,Action,Microsoft Game Studios,0.0,60.0,77.0,6.1,1409.0,Crytek,M
165,0.16,PSP,2007.0,Action,Activision,0.0,58.0,7.0,4.4,9.0,Artificial Mind and Movement,E10+
166,0.01,XOne,2016.0,Action,Konami Digital Entertainment,0.0,,,tbd,,Kojima Productions,M
167,2.79,PS3,2010.0,Action,Take-Two Interactive,0.17,95.0,73.0,8.8,2456.0,Rockstar San Diego,M
168,0.16,XB,2002.0,Shooter,Universal Interactive,0.0,76.0,20.0,7.5,6.0,Terminal Reality,M
169,0.18,X360,2008.0,Adventure,Disney Interactive Studios,0.0,57.0,18.0,7.1,7.0,Avalanche Software,E10+
170,0.13,PSP,2011.0,Role-Playing,Atlus,0.11,,,,,,
171,0.04,PS2,2002.0,Strategy,Tecmo Koei,0.0,71.0,12.0,6.6,5.0,Koei,E
172,0.01,XB,2002.0,Sports,Konami Digital Entertainment,0.0,,,tbd,,Konami,E
173,0.0,SNES,1995.0,Role-Playing,SquareSoft,1.29,,,,,,
174,0.01,PS,1996.0,Sports,Konami Digital Entertainment,0.09,,,,,,
175,0.19,PSP,2008.0,Role-Playing,Sega,0.63,64.0,38.0,7.8,19.0,Alfa System,T
176,0.0,SNES,1993.0,Role-Playing,TOHO,0.11,,,,,,
177,0.71,PSP,2005.0,Action,Sony Computer Entertainment,0.0,79.0,45.0,8.2,38.0,Incognito Inc.,T
178,0.25,PS2,2004.0,Action,Konami Digital Entertainment,0.0,76.0,54.0,7.8,191.0,KCET,M
179,0.05,Wii,2007.0,Misc,Eidos Interactive,0.0,30.0,4.0,3.6,20.0,Sensory Sweep,E
180,0.46,PC,2006.0,Simulation,Electronic Arts,0.0,78.0,29.0,8.6,35.0,Maxis,T
181,0.07,PSP,2006.0,Sports,Sony Computer Entertainment,0.0,72.0,44.0,tbd,,SCEE London Studio,E
182,0.02,DS,2005.0,Misc,Majesco Entertainment,0.0,,,tbd,,Skyworks Technologies,T
183,0.35,PS2,2003.0,Fighting,Sega,0.0,93.0,30.0,9,48.0,Sega,T
184,0.0,PSP,2012.0,Action,Unknown,0.07,,,,,,
185,0.1,PS3,2007.0,Simulation,Ubisoft,0.0,70.0,10.0,7.2,12.0,Ubisoft Romania,T
186,0.03,PSP,2009.0,Action,Ubisoft,0.05,68.0,18.0,7.4,18.0,From Software,M
187,0.05,XB,2003.0,Sports,Vivendi Games,0.0,,,,,,
188,0.17,PC,2010.0,Action,Take-Two Interactive,0.0,77.0,46.0,7.9,1238.0,2K Czech,M
189,0.86,PS2,2002.0,Action,Take-Two Interactive,0.0,71.0,34.0,5.7,33.0,VIS Entertainment,M
190,0.0,PSP,2010.0,Adventure,Broccoli,0.02,,,,,,
191,0.2,PS3,2009.0,Action,Electronic Arts,0.0,72.0,54.0,8.1,118.0,Pandemic Studios,M
192,0.05,GC,2003.0,Platform,Ubisoft,0.0,77.0,24.0,8.3,21.0,Ubisoft Shanghai,E
193,0.5,DS,2009.0,Simulation,Ubisoft,0.0,,,tbd,,Digital Kids,E
194,0.03,XOne,2016.0,Action,Telltale Games,0.0,35.0,17.0,5.2,74.0,The Fun Pimps Entertainment LLC,M
195,0.07,PS3,2013.0,Shooter,Capcom,0.06,61.0,30.0,5.5,102.0,Spark Unlimited,T
196,0.09,PS2,2001.0,Adventure,3DO,0.0,49.0,12.0,4.5,6.0,3DO,T
197,0.07,PSP,2005.0,Puzzle,Ubisoft,0.0,77.0,36.0,7.7,13.0,Taito Corporation,E
198,0.43,Wii,2011.0,Racing,Disney Interactive Studios,0.0,,,,,,
199,0.02,X360,2013.0,Simulation,Microsoft Game Studios,0.0,,,,,,
200,0.0,DS,2008.0,Action,Namco Bandai Games,0.02,,,,,,
201,0.04,XB,2002.0,Platform,Infogrames,0.0,,,,,,
202,0.09,Wii,2009.0,Simulation,THQ,0.0,,,,,,
203,1.84,2600,1981.0,Action,Atari,0.0,,,,,,
204,0.03,WiiU,2015.0,Action,Little Orbit,0.0,,,,,,
205,0.86,SNES,1994.0,Role-Playing,SquareSoft,2.55,,,,,,
206,0.03,PS3,2014.0,Role-Playing,Aksys Games,0.02,64.0,11.0,6.4,17.0,TOYBOX,T
207,0.08,XB,2005.0,Sports,Electronic Arts,0.0,60.0,21.0,8,9.0,EA Canada,E
208,0.06,PS,1999.0,Fighting,Acclaim Entertainment,0.0,43.0,7.0,6.3,4.0,Acclaim,E
209,0.46,PSP,2005.0,Sports,Activision,0.0,83.0,49.0,8,34.0,Shaba Games,T
210,0.0,PS2,2007.0,Adventure,D3Publisher,0.01,,,,,,
211,0.38,X360,2010.0,Shooter,Capcom,0.08,,,,,,
212,0.08,PS2,2005.0,Racing,Play It,0.0,52.0,4.0,tbd,,Impulse Games,E
213,0.13,DS,2010.0,Sports,Electronic Arts,0.0,63.0,5.0,tbd,,EA Sports,E
214,0.0,PSV,2015.0,Role-Playing,Tecmo Koei,0.06,,,8,14.0,Gust,T
215,0.06,PS,1996.0,Sports,Tecmo Koei,0.0,,,,,,
216,0.04,PS2,2004.0,Shooter,Global Star,0.0,65.0,27.0,7.8,17.0,Climax Group,M
217,0.11,PS2,2007.0,Adventure,Disney Interactive Studios,0.0,,,tbd,,Papaya Studios,E
218,0.0,PC,2012.0,Platform,Ubisoft,0.0,86.0,11.0,8.4,337.0,UBlart Montpellier,E10+
219,0.23,PS,2000.0,Action,Eidos Interactive,0.29,39.0,10.0,7,47.0,Capcom,M
220,0.01,PC,1996.0,Role-Playing,Activision,0.0,94.0,12.0,8.7,850.0,Blizzard Entertainment,M
221,0.01,PS3,2016.0,Adventure,Telltale Games,0.0,,,,,,
222,0.14,X360,2010.0,Adventure,Namco Bandai Games,0.0,74.0,46.0,8.1,24.0,Game Republic,T
223,0.05,XB,2005.0,Platform,THQ,0.0,75.0,19.0,tbd,,Avalanche Software,E
224,0.63,PS4,2016.0,Action,Hello Games,0.03,71.0,94.0,4.5,5096.0,Hello Games,T
225,0.88,PS2,2003.0,Action,Ubisoft,0.0,92.0,44.0,8.8,204.0,Ubisoft,T
226,0.02,PSP,2010.0,Simulation,Sony Computer Entertainment,0.0,57.0,19.0,tbd,,SCEE London Studio,E
227,0.16,PS2,2009.0,Sports,Sony Computer Entertainment,0.0,79.0,7.0,7.5,12.0,SCEA San Diego Studios,E
228,0.07,DS,2010.0,Misc,Warner Bros. Interactive Entertainment,0.0,,,tbd,,Ludia Inc.,T
229,0.0,PC,2004.0,Strategy,Microsoft Game Studios,0.0,72.0,34.0,8.1,43.0,Blue Fang Games,E
230,0.14,PS2,2007.0,Role-Playing,Tecmo Koei,0.0,,,,,,
231,0.04,DS,2009.0,Puzzle,Phenomedia,0.0,,,tbd,,MumboJumbo,E
232,0.03,X360,2014.0,Role-Playing,Deep Silver,0.0,51.0,11.0,4.1,42.0,Deep Silver,M
233,0.72,PS3,2008.0,Fighting,Ubisoft,0.14,85.0,65.0,7.9,129.0,Namco,T
234,0.39,N64,1997.0,Action,Nintendo,0.17,,,,,,
235,0.31,PS3,2013.0,Role-Playing,Square Enix,0.45,66.0,62.0,5.9,552.0,Square Enix,T
236,1.03,PS2,2004.0,Sports,Electronic Arts,0.0,88.0,30.0,8.2,20.0,EA Sports,E
237,0.04,Wii,2007.0,Action,Take-Two Interactive,0.0,39.0,16.0,5.9,15.0,7 Studios,T
238,0.14,Wii,2011.0,Action,THQ,0.0,,,tbd,,THQ,E10+
239,0.9,GC,2004.0,Misc,Nintendo,0.6,71.0,33.0,7.9,51.0,Hudson Soft,E
240,0.13,PS3,2010.0,Sports,Sony Computer Entertainment,0.0,66.0,14.0,8.1,23.0,SCEA,E10+
241,0.45,X360,2007.0,Sports,Electronic Arts,0.0,80.0,42.0,8.2,30.0,EA Canada,E
242,0.08,PSP,2009.0,Adventure,Idea Factory,0.0,79.0,4.0,8.3,30.0,Idea Factory,M
243,0.78,PS4,2015.0,Shooter,Activision,0.04,86.0,81.0,6,1079.0,Bungie,T
244,0.11,PS3,2009.0,Misc,Sony Computer Entertainment,0.0,,,,,,
245,0.11,PS3,2009.0,Fighting,Ignition Entertainment,0.03,57.0,48.0,5.3,46.0,SNK Playmore,T
246,0.06,PS4,2016.0,Misc,Sony Computer Entertainment,0.02,59.0,48.0,7.1,73.0,Sony Interactive Entertainment,M
247,0.33,PS2,2003.0,Platform,THQ,0.0,,,,,,
248,0.0,3DS,2014.0,Misc,FuRyu,0.07,,,,,,
249,0.0,DS,2010.0,Adventure,Nintendo,0.09,,,,,,
250,0.0,PC,2006.0,Strategy,Take-Two Interactive,0.0,57.0,19.0,7.2,44.0,FireFly Studios,T
251,0.0,DS,2006.0,Misc,Konami Digital Entertainment,0.07,,,,,,
252,0.16,PSP,2005.0,Sports,Sega,0.0,,,,,,
253,0.11,XOne,2013.0,Fighting,Ubisoft,0.0,23.0,39.0,3,211.0,Ubisoft,T
254,0.13,PS3,2010.0,Misc,Unknown,0.0,36.0,10.0,0.5,4.0,Seven45 Studios,T
255,0.03,DS,2007.0,Racing,Game Factory,0.0,,,tbd,,Full Fat,E10+
256,0.38,PS3,2009.0,Sports,Electronic Arts,0.0,88.0,35.0,7.9,40.0,EA Canada,E10+
257,0.61,N64,1996.0,Fighting,Nintendo,0.0,,,,,,
258,0.35,PSV,2012.0,Platform,Sony Computer Entertainment,0.02,88.0,71.0,8.6,348.0,"Tarsier Studios, Double Eleven",E
259,0.15,N64,1997.0,Fighting,GT Interactive,0.0,,,,,,
260,0.5,XOne,2014.0,Racing,Microsoft Game Studios,0.01,86.0,85.0,8.2,977.0,Playground Games,E10+
261,0.0,DS,2007.0,Misc,Nintendo,0.19,,,,,,
262,0.14,GBA,2002.0,Platform,THQ,0.0,,,,,,
263,0.05,PS2,2004.0,Shooter,Global Star,0.0,57.0,33.0,tbd,,Vicious Cycle,T
264,0.04,PS2,2003.0,Sports,DreamCatcher Interactive,0.0,,,6,4.0,Aqua Pacific,E
265,0.0,DS,2005.0,Misc,Namco Bandai Games,0.04,,,,,,
266,0.0,PSP,2012.0,Role-Playing,Square Enix,0.11,,,8.9,15.0,Matrix Software,T
267,0.14,PS2,2003.0,Racing,Namco Bandai Games,0.0,66.0,35.0,6.2,5.0,Namco,T
268,0.0,PC,2008.0,Action,Activision,0.0,52.0,11.0,7.8,57.0,"Treyarch, Shaba Games",T
269,0.0,PS,1997.0,Sports,ASCII Entertainment,1.96,,,,,,
270,0.16,GC,2005.0,Fighting,Atari,0.0,48.0,11.0,6.6,11.0,Avalanche Software,T
271,0.0,PS2,2008.0,Misc,Paon,0.06,,,,,,
272,0.02,GC,2003.0,Racing,Acclaim Entertainment,0.0,,,,,,
273,0.0,PC,2014.0,Action,Activision,0.0,,,,,,
274,0.37,DS,2009.0,Misc,Mentor Interactive,0.0,,,,,,
275,0.0,PC,2016.0,Racing,Namco Bandai Games,0.0,72.0,4.0,6.2,14.0,"Milestone, Milestone S.r.l",E
276,0.0,PS2,2002.0,Adventure,Konami Digital Entertainment,0.08,,,,,,
277,0.0,PS2,2006.0,Role-Playing,Banpresto,0.18,,,,,,
278,0.04,GC,2004.0,Strategy,Sega,0.0,59.0,22.0,6.6,7.0,Hitmaker,E
279,0.0,3DS,2013.0,Role-Playing,Namco Bandai Games,0.06,,,,,,
280,0.12,Wii,2008.0,Simulation,Deep Silver,0.0,,,tbd,,Neko Entertainment,E
281,0.0,GBA,2004.0,Sports,Konami Digital Entertainment,0.14,,,,,,
282,0.11,PS2,2001.0,Simulation,Tecmo Koei,0.14,77.0,13.0,8.5,23.0,Tecmo,E
283,0.01,PS4,2016.0,Action,Warner Bros. Interactive Entertainment,0.0,73.0,16.0,8.1,7.0,Warner Bros. Interactive Entertainment,E10+
284,0.02,DS,2006.0,Action,Game Factory,0.0,,,,,Neko Entertainment,E
285,0.0,Wii,,Racing,Unknown,0.02,,,,,,
